URL,Arquivo,Linha,Texto,Contexto
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",12,"Service Desk","à vontade para a submissão de tickets através do [Service Desk](https://servicedesk.openbankingbras"
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_48.md",25,"ACESSE O SERVICE DESK","AB](https://gitlab.com/obb1/certification)**    **[ACESSE O SERVICE DESK](https://servicedesk.openba"
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_52.md",16,"ACESSE O SERVICE DESK","ITLAB](https://gitlab.com/obb1/certification)** **[ACESSE O SERVICE DESK](https://servicedesk.openba"
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_56.md",25,"ACESSE O SERVICE DESK","ITLAB](https://gitlab.com/obb1/certification)** **[ACESSE O SERVICE DESK](https://servicedesk.openba"
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_57.md",28,"ACESSE O SERVICE DESK","ITLAB](https://gitlab.com/obb1/certification)** **[ACESSE O SERVICE DESK](https://servicedesk.openba"
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_58.md",26,"ACESSE O SERVICE DESK","ITLAB](https://gitlab.com/obb1/certification)** **[ACESSE O SERVICE DESK](https://servicedesk.openba"
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_8.md",61,"ACESSE O SERVICE DESK","em ser realizados via Service Desk por todos.   **[ACESSE O SERVICE DESK](https://servicedesk.openba"
"https://servicedesk.openbankingbrasil.org.br/servicePortal","add/openfinance_markdown/_geral/pdfs/Open_Banking_Informa_9.md",49,"ACESSE O SERVICE DESK","em ser realizados via Service Desk por todos.   **[ACESSE O SERVICE DESK](https://servicedesk.openba"
"https://gitlab.com/raidiam-conformance/open-finance/certification/-/wikis/Certification-Guide","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",19,"Guia de certificação","al          1.  Guia de submissão de certificação [Guia de certificação](https://gitlab.com/raidiam-"
"https://servicedesk.openbankingbrasil.org.br/Login.jsp","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",21,"https://servicedesk.openbankingbrasil.org.br/Login.jsp","ertification-Guide)              2.  Solicitação: [https://servicedesk.openbankingbrasil.org.br/Logi"
"https://servicedesk.openbankingbrasil.org.br/Login.jsp","add/openfinance_markdown/_geral/Guia de Certificação de Conformidade.md",607,"https://servicedesk.openbankingbrasil.org.br/Login.jsp","Desk do Open Finance, acessível através do link: [https://servicedesk.openbankingbrasil.org.br/Logi"
"https://servicedesk.openbankingbrasil.org.br/Login.jsp","add/openfinance_markdown/_geral/pdfs/20220912_OpenFinance-Guia_Motor_De_Conformidade_V7.md",994,"do Open Finance, acessível através do link: https://servicedesk.openbankingbrasil.org.br/Login.jsp","de utiliza a mesma infraestrutura do Service Desk [do Open Finance, acessível através do link: https"
"https://gitlab.com/obb1/certification/-/issues/","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",23,"https://gitlab.com/obb1/certification/-/issues/","Login.jsp)              3.  Abertura de chamados: [https://gitlab.com/obb1/certification/-/issues/]("
"https://openfinancebrasil.atlassian.net/wiki/download/attachments/17378905/20220106_Guia%20de%20utilizacao%20Pix%20Tester%20para%20certificacao%20funcional.pdf?api=v2","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",25,"https://openfinancebrasil.atlassian.net/wiki/download/attachments/17378905/20220106\_Guia de utilizacao Pix Tester para certificacao funcional.pdf?api=v2","4.  Guia de utilização do Pix Tester: [https://openfinancebrasil.atlassian.net/wiki/down"
"https://openid.net/certification/op_submission/","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",29,"https://openid.net/certification/op\_submission/#:~:text=of%20Conformance%20(docx)-,(PDF),-naming%20that%20profile","cação de segurança, OP          1.  Documentação: [https://openid.net/certification/op\_submission/#"
"https://openid.net/certification/op_submission/","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",31,"https://openid.net/certification/op\_submission/#:~:text=Certification%20Terms%20and%20Conditions","fication/op_submission/)              2.  Termos: [https://openid.net/certification/op\_submission/#"
"https://openid.net/certification/op_submission/","add/openfinance_markdown/_geral/Guia de Certificação de Conformidade.md",567,"https://openid.net/certification/op\_submission/","erá consultar as instruções contidas no endereço: [https://openid.net/certification/op\_submission/]"
"https://openid.net/certification/op_submission/","add/openfinance_markdown/_geral/Guia de Certificação de Conformidade.md",673,"How to request certification after successfully completing conformance testing for FAPI-RW and","tps://openid.net/certification/fapi_op_testing/)  [How to request certification after successfully c"
"https://openid.net/certification/op_submission/","add/openfinance_markdown/_geral/Guia de Certificação de Conformidade.md",673,"FAPI-CIBA OPs","(https://openid.net/certification/op_submission/) [FAPI-CIBA OPs](https://openid.net/certification/o"
"https://openid.net/certification/op_submission/","add/openfinance_markdown/_geral/pdfs/20220912_OpenFinance-Guia_Motor_De_Conformidade_V7.md",905,"https://openid.net/certification/op_submission/","á consultar as instruções contidas no endereço: **[https://openid.net/certification/op_submission/]("
"https://openid.net/certification/op_submission/","add/openfinance_markdown/_geral/pdfs/20220912_OpenFinance-Guia_Motor_De_Conformidade_V7.md",1101,"How to request certification after successfully completing conformance testing for FAPI-RW and","ttps://openid.net/certification/fapi_op_testing/) [How to request certification after successfully c"
"https://openid.atlassian.net/servicedesk/customer/portal/3/group/3/create/10016","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",33,"https://openid.atlassian.net/servicedesk/customer/portal/3/group/3/create/10016","ion/op_submission/)              3.  Solicitação: [https://openid.atlassian.net/servicedesk/customer"
"https://openid.atlassian.net/servicedesk/customer/portal/3/group/3/create/10016","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",43,"https://openid.atlassian.net/servicedesk/customer/portal/3/group/3/create/10016","api_rp_submission/)              3.  Solicitação: [https://openid.atlassian.net/servicedesk/customer"
"https://gitlab.com/openid/conformance-suite/-/issues","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",35,"https://gitlab.com/openid/conformance-suite/-/issues","ate/10016)              4.  Abertura de chamados: [https://gitlab.com/openid/conformance-suite/-/iss"
"https://gitlab.com/openid/conformance-suite/-/issues","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",45,"https://gitlab.com/openid/conformance-suite/-/issues","ate/10016)              4.  Abertura de chamados: [https://gitlab.com/openid/conformance-suite/-/iss"
"https://openid.net/certification/fapi_rp_submission/","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",39,"https://openid.net/certification/fapi\_rp\_submission/#:~:text=of%20Conformance%20(docx)%20(-,PDF,-)%20naming%20that%20profile","cação de segurança, RP          1.  Documentação: [https://openid.net/certification/fapi\_rp\_submis"
"https://openid.net/certification/fapi_rp_submission/","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",41,"https://openid.net/certification/fapi\_rp\_submission/#:~:text=Certification%20Terms%20and%20Conditions","on/fapi_rp_submission/)              2.  Termos:  [https://openid.net/certification/fapi\_rp\_submis"
"https://www.youtube.com/watch?v=v8ks7C-f9Yg&ab_channel=OpenBankingBrasil","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",52,"1° Workshop com OpenID Foundation (17/05/2021)","nça foram realizados os seguintes workshops:  -   [1° Workshop com OpenID Foundation (17/05/2021)](h"
"https://www.youtube.com/watch?v=pn51tKgLIoQ&t=3760s&ab_channel=OpenBankingBrasil","add/openfinance_markdown/_geral/Diretrizes Técnicas de Certificação de Conformidade.md",54,"2° Workshop com OpenID Foundation (24/05/2021)","8ks7C-f9Yg&ab_channel=OpenBankingBrasil)      -   [2° Workshop com OpenID Foundation (24/05/2021)](h"
